word,count
3번만,1.0
3번안,1.0
3번정도,2.0
3번째,1.0
3번째만남,1.0
3분,1.0
3분미만,1.0
3살,3.0
3시,3.0
3시간,9.0
3엔티제,1.0
3월,2.0
3월쯤,1.0
3위,1.0
3인방임,1.0
3일,11.0
3일동안,3.0
3일만,1.0
3일차임,1.0
3자,3.0
3장,1.0
3주,11.0
3주동안,1.0
3주만,2.0
3주일,1.0
3주전,1.0
3줄,3.0
3줄요약있음,1.0
3차,3.0
3차기능,1.0
3차기능인,1.0
3천,3.0
3천부,1.0
3통,1.0
3학년,1.0
3할,1.0
3회,2.0
4,122.0
40,12.0
4050,1.0
40개,1.0
40년,1.0
40대,5.0
40대-60대,1.0
40대쯤,1.0
40대초반,1.0
40분,1.0
40일쯤,1.0
41,1.0
42,1.0
4334,1.0
4334거,1.0
45,2.0
45도,1.0
49,1.0
49로,1.0
4가지,1.0
4개,4.0
4개국,1.0
4개기프티,1.0
4개월,6.0
4개월동안,1.0
4개월만,1.0
4년,4.0
4년만난,1.0
4달,1.0
4달전,1.0
4명,6.0
4번,7.0
4살,2.0
4살차이,1.0
4시,1.0
4시간,5.0
4시간동안,1.0
4월,3.0
4월초,1.0
4유형중,1.0
4일,4.0
4일연속,1.0
4일제,1.0
4절,1.0
4주차,1.0
4차,2.0
4학년,1.0
4회,1.0
5,122.0
50,12.0
50.1,1.0
50대,3.0
50대초라,1.0
50만원,1.0
50분,1.0
50분쯤,1.0
50분텀,1.0
50일정도,1.0
50프로,1.0
51,1.0
53,1.0
573,1.0
586,1.0
586ㅋ,1.0
5가지,1.0
5가지사랑,1.0
5개,1.0
5개월,2.0
5년,5.0
5년뒤,1.0
5년전,2.0
5년지기,1.0
5년차,1.0
5만원,2.0
5명,1.0
5배,1.0
5번,9.0
5번이상,1.0
5번정도,1.0
5번째,1.0
5분,4.0
5분거리,1.0
5분만,1.0
5살,1.0
5살차이,2.0
5세트,1.0
5시,7.0
5시간,4.0
5월,4.0
5의,1.0
5이상,1.0
5일,7.0
5일동안,2.0
5일만,2.0
5일정도,1.0
5차,1.0
5차례,2.0
5천만원,1.0
5천보,1.0
5천원따리,1.0
5초만,1.0
5촌조카,1.0
6,83.0
60,9.0
6000,1.0
6000만원,1.0
60대,3.0
60세,1.0
60세임,1.0
60일,1.0
65,2.0
65정도,1.0
6개,2.0
6개월,9.0
6개월뒤,1.0
6개월전,1.0
6개월정도,1.0
6년,3.0
6년만,1.0
6년정도,1.0
6년차,1.0
6등변화,1.0
6등정도,1.0
6명,2.0
6박7일,1.0
6번,2.0
6살,2.0
6살이,1.0
6시,6.0
6시간,3.0
6월,1.0
6위,1.0
6일동안,1.0
6주동안,1.0
6주정도,1.0
6줄,2.0
6차,3.0
6차기능,1.0
6키로,1.0
6회정도,1.0
7,61.0
70,5.0
700,1.0
700일,1.0
70세,1.0
70일,1.0
73,1.0
77,4.0
7716,1.0
77키로,4.0
78,2.0
78키로,1.0
7개,1.0
7개월,2.0
7년,3.0
7년만,1.0
7년전쯤,1.0
7만원,1.0
7명,1.0
7번,5.0
7번일꺼,1.0
7번정도,1.0
7살,1.0
7시,2.0
7시간,2.0
7시반-8,1.0
7월,3.0
7월달,1.0
7월말,1.0
7월중순,1.0
7위,1.0
7인,1.0
7일,1.0
7차,3.0
7할,1.0
8,56.0
80,6.0
800,1.0
800원,1.0
80만원,1.0
80프로,2.0
83,2.0
84,1.0
86,1.0
8636,1.0
86정도,1.0
88,1.0
8개월,3.0
8개월차,1.0
8기능,4.0
8년,2.0
8년반,1.0
8년전,1.0
8년정도,1.0
8명,2.0
8번,2.0
8시,2.0
8시간,1.0
