number,corpName,postingUrl,imgUrl
0,예스이앤씨(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47531844,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2023/10/s2pv3m_76t1-2so30f_goodchoice7704032yesenc.jpg
1,주식회사윙크루,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47497155,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2024/01/s714nm_tlrr-2so28g_goodchoice8162258.png
2,우양산업개발(주) 힐튼경주지점,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47538719,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2014/09/1411964152_goodchoice80669.jpg
3,홈플러스(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47556257,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2021/05/qsxpmv_50rd-2rxibw_goodchoice4525998.png
4,재단법인 한국나눔장학재단,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47536019,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2023/08/rzh4w8_f5xd-2so30k_goodchoice74510341004q.jpg
5,한국삼공㈜,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47542204,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2022/12/rmva7v_ku3u-2so30h_goodchoice4438331sglogo221214.png
6,한국이구스㈜,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47538832,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2020/12/qkyqoz_lg4m-2rxic2_goodchoice4879114iglogo.png
7,(주)디지비데이터시스템,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47536643,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2019/05/pqv9qc_5ink-2rxgcu_goodchoice5534318dgblogo.png
